favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
337,Twitter for iPhone,We have been pretty successful in building solid institutions in this country in the past.The idea of IIT was an idea created many years ago,,False,Fri Jul 31 08:02:23 +0000 2015,367,627026508666638336
308,Twitter for iPhone,"Yesterday in Andhra, one of our workers immolated himself. We have been fighting for special category status for Andhra Pradesh.",,False,Mon Aug 10 07:39:00 +0000 2015,366,630644502126919681
633,Twitter for iPhone,"So we need to put pressure on the PM,because he understands pressure- he doesn't understand any other language, but he understands pressure!",,False,Wed Mar 16 07:44:54 +0000 2016,644,710008929879781376
19804,Twitter for iPhone,"FM Jaitley’s genius combines with Mr Modi’s Gross Divisive Politics (GDP) to give India:

New Investments: 13 year… https://t.co/wU5DvRt1gQ",,False,Sat Jan 06 03:16:23 +0000 2018,9100,949479733850337280
348,Twitter Web Client,The BJP and the PM have a strategy of polarizing this country. We all know their history and strategy.,,False,Fri Oct 09 10:46:05 +0000 2015,440,652434852684263424
35725,Twitter for iPhone,💫💫💫💥💥💥💥 Wishing everyone a very happy and prosperous year 2018. 💥💥💥💥💫💫💫,,False,Sun Dec 31 16:21:29 +0000 2017,8261,947502984019111936
3731,Twitter for iPhone,"A leader who loved, embraced &amp; above all listened to his people. K Kamaraj ji's legacy will always  guide &amp; inspire… https://t.co/u189MWI3JL",,False,Sat Jul 15 06:17:46 +0000 2017,1883,886107503968243714
487,Twitter Web Client,"प्रधानमंत्रीजी आपके शब्दों का वज़न होना चाहिये। आप राजस्थान में क्यों खाने दे रहें है, आप ललित मोदी को वापस क्यों नहीं ला रहें है?",RahulGandhi,False,Thu Jul 09 11:57:02 +0000 2015,664,619113024092123136
398,Twitter for iPhone,"The Congress Party has very strong views on policy. We have views on the GST, we support the GST",,False,Wed Nov 25 09:49:08 +0000 2015,429,669452753383628800
305,Twitter Web Client,On Censorship: https://t.co/UKzlLxZn51,RahulGandhi,False,Wed Jan 20 04:28:26 +0000 2016,377,689665764794626048
835,Twitter for iPhone,"Modiji had spoken of Ache Din, today the country is reeling under drought,farmers are committing suicides, but Modiji has nothing to say",,False,Fri May 06 05:21:59 +0000 2016,933,728454743127822336
583,Twitter Web Client,Paying tribute #RememberingNehru http://t.co/SeVin3CM54,,False,Wed May 27 07:04:10 +0000 2015,486,603456645285437440
2190,Twitter for iPhone,बसंत पंचमी और सरस्वती पूजा की सभी को हार्दिक शुभकामनाएँ।,,False,Wed Feb 01 05:00:31 +0000 2017,986,826656453649920000
1639,Twitter for iPhone,Shocked &amp;deeply saddened by news of yet another terror attack in #Istanbul.Strongly condemn this cowardly attack on innocents,,False,Wed Jun 29 02:35:51 +0000 2016,1474,747981878678925312
24551,Twitter for iPhone,"देशवासियों को गणतंत्र दिवस की हार्दिक शुभकामनाएं।

जय हिन्द! 

#RepublicDayIndia https://t.co/O0vFWCed3C",,False,Sat Jan 26 04:28:58 +0000 2019,5523,1089017329378308096
1376,Twitter for iPhone,मंत्री अगर भ्रष्ट नहीं थे तो अखिलेश ने निकाला क्यूँ? अगर भ्रष्टाचारी हैं तो दोबारा उन्हें मंत्री क्यूँ बनाया? https://t.co/7oYLYnK5SF,,False,Mon Sep 19 08:22:53 +0000 2016,1160,777785016398913536
