favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
14492,Twitter Media Studio,"To hide their own failures, the TDP Government in AP is spreading so many lies.

BJP’s truth will defeat the Tsunam… https://t.co/lTRLT3G2Ed",,False,Wed Jan 02 14:17:26 +0000 2019,3588,1080468110283423744
5257,Twitter Web Client,"Looking forward to interacting with @BJP4TamilNadu Karyakartas at 4:30 this evening. 

Watch the interaction on the… https://t.co/TPx6cUiA8t",,False,Sat Dec 15 10:48:41 +0000 2018,1243,1073892596253163520
6566,Twitter Media Studio,ਐਨਡੀਏ ਸਰਕਾਰ ਨੇ ਹਮੇਸ਼ਾ ਕਿਸਾਨਾਂ ਦੇ ਹੱਕਾਂ ਬਾਰੇ ਸੋਚਿਆ ਹੈ ਤੇ ਉਹਨਾਂ ਦੇ ਵਿਕਾਸ ਲਈ ਕਈ ਠੋਸ ਕਦਮ ਚੁੱਕੇ ਹਨ ਜਦਕਿ ਕਾਂਗਰਸ ਦਹਾਕਿਆਂ… https://t.co/1Tfd4nNTil,,False,Thu Jan 03 14:58:07 +0000 2019,1541,1080840737959247872
19815,Twitter Media Studio,"70 साल में पहली बार हमारी सरकार ने किसानों की आय बढ़ाने के बारे में सोचा है।
 
हम बहुत ईमानदारी और परिश्रम से किसा… https://t.co/zb5y4ilDcn",,False,Sun Dec 16 15:20:13 +0000 2018,4197,1074323318327730177
9215,Twitter Media Studio,"हमारे जवानों की सुरक्षा के प्रति कांग्रेस का क्या रवैया रहा है, ये मैं देश को फिर याद दिलाना चाहता हूं। https://t.co/wf5l5t0N2U",,False,Sun Dec 16 15:18:52 +0000 2018,2304,1074322977645301760
9947,Twitter Media Studio,"The 2019 polls are special because those born in the 21st century will also vote.

Requested first time voters to b… https://t.co/t9yWeRoGTy",,False,Wed Jan 02 14:15:41 +0000 2019,2761,1080467669663473665
7370,Twitter Web Client,"Glad to have spent a large part of the day in the historic city of Prayagraj.

The city is all set to host the Kumb… https://t.co/8616jajNOG",,False,Sun Dec 16 16:17:47 +0000 2018,1683,1074337803452981251
8286,Twitter Media Studio,It makes me very happy that the people of Prayagraj and the UP Government are devoting special attention to cleanli… https://t.co/CnAo3SC50X,,False,Sun Dec 16 16:23:02 +0000 2018,1988,1074339124310495237
9337,Twitter Web Client,"Earlier today in Raebareli, I visited the Modern Coach Factory. 

In the last four years, substantial effort has be… https://t.co/lW3pHEuhAg",,False,Sun Dec 16 15:12:43 +0000 2018,2210,1074321428999274496
8443,Twitter Media Studio,"During the Cabinet meeting yesterday, a landmark decision was taken that benefits the MSME sector. 

Know more... https://t.co/mBuaVkh0QJ",,False,Thu Jan 03 14:59:16 +0000 2019,2055,1080841028813217792
12204,Twitter for iPhone,Sharing some glimpses from the wonderful cultural programme at the DGPs/IGPs Conference at Kevadia. https://t.co/PAmswEx8NH,,False,Fri Dec 21 16:45:57 +0000 2018,2507,1076156831276417028
11272,Twitter Web Client,"I appreciate the entire team of @BJP4Assam for their excellent work across the state, which has resulted in the Par… https://t.co/WRteR8azU6",,False,Sat Dec 15 10:42:11 +0000 2018,2316,1073890960826867713
14043,Periscope,Always special to be in Prayagraj. Speaking at a public meeting. Watch. https://t.co/SZQuqoJvsG,,False,Sun Dec 16 10:44:45 +0000 2018,3050,1074253995043041287
7095,Twitter for iPhone,"Looking forward to interacting with @BJP4Andhra Karyakartas at 4 PM. 

Do watch. https://t.co/za4awJbl2Q",,False,Wed Jan 02 09:42:27 +0000 2019,1524,1080398907635625984
17521,Twitter Web Client,"कांग्रेस सरकार के द्वारा किए गए हर रक्षा सौदे में कोई न कोई विदेशी मामा, अंकल, चाचा-भतीजा निकल आता है।
 
इसलिए जब… https://t.co/J5v4KKprib",,False,Sun Dec 16 15:19:33 +0000 2018,4601,1074323150253580290
75001,Twitter for iPhone,"Wishing everyone a joyous 2019!

May everyone be happy and healthy. I pray that all your wishes are fulfilled in 2019.",,False,Tue Jan 01 03:04:37 +0000 2019,11831,1079936404480839680
40167,Twitter for Android,"I would specially urge you all to visit Kevadia and see the ‘Statue of Unity.’ 

Some friends told me that the Stat… https://t.co/o197FnmvIe",,False,Fri Dec 21 05:27:32 +0000 2018,7340,1075986101519740930
