favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
5257,Twitter Web Client,"Looking forward to interacting with @BJP4TamilNadu Karyakartas at 4:30 this evening. 

Watch the interaction on the… https://t.co/TPx6cUiA8t",,False,Sat Dec 15 10:48:41 +0000 2018,1243,1073892596253163520
19814,Twitter Media Studio,"70 साल में पहली बार हमारी सरकार ने किसानों की आय बढ़ाने के बारे में सोचा है।
 
हम बहुत ईमानदारी और परिश्रम से किसा… https://t.co/zb5y4ilDcn",,False,Sun Dec 16 15:20:13 +0000 2018,4197,1074323318327730177
9214,Twitter Media Studio,"हमारे जवानों की सुरक्षा के प्रति कांग्रेस का क्या रवैया रहा है, ये मैं देश को फिर याद दिलाना चाहता हूं। https://t.co/wf5l5t0N2U",,False,Sun Dec 16 15:18:52 +0000 2018,2304,1074322977645301760
7375,Twitter Web Client,"Glad to have spent a large part of the day in the historic city of Prayagraj.

The city is all set to host the Kumb… https://t.co/8616jajNOG",,False,Sun Dec 16 16:17:47 +0000 2018,1684,1074337803452981251
8285,Twitter Media Studio,It makes me very happy that the people of Prayagraj and the UP Government are devoting special attention to cleanli… https://t.co/CnAo3SC50X,,False,Sun Dec 16 16:23:02 +0000 2018,1988,1074339124310495237
9340,Twitter Web Client,"Earlier today in Raebareli, I visited the Modern Coach Factory. 

In the last four years, substantial effort has be… https://t.co/lW3pHEuhAg",,False,Sun Dec 16 15:12:43 +0000 2018,2211,1074321428999274496
12204,Twitter for iPhone,Sharing some glimpses from the wonderful cultural programme at the DGPs/IGPs Conference at Kevadia. https://t.co/PAmswEx8NH,,False,Fri Dec 21 16:45:57 +0000 2018,2507,1076156831276417028
11276,Twitter Web Client,"I appreciate the entire team of @BJP4Assam for their excellent work across the state, which has resulted in the Par… https://t.co/WRteR8azU6",,False,Sat Dec 15 10:42:11 +0000 2018,2317,1073890960826867713
14048,Periscope,Always special to be in Prayagraj. Speaking at a public meeting. Watch. https://t.co/SZQuqoJvsG,,False,Sun Dec 16 10:44:45 +0000 2018,3051,1074253995043041287
17522,Twitter Web Client,"कांग्रेस सरकार के द्वारा किए गए हर रक्षा सौदे में कोई न कोई विदेशी मामा, अंकल, चाचा-भतीजा निकल आता है।
 
इसलिए जब… https://t.co/J5v4KKprib",,False,Sun Dec 16 15:19:33 +0000 2018,4605,1074323150253580290
